domain,site,sitemap,reason,new_urls_count,blacklisted_on
habitat-planete.fr,https://www.habitat-planete.fr/,https://www.habitat-planete.fr/sitemaps.xml,definitive_sitemap_http_404_7d,0,2026-08-26
habitat-protection.fr,https://www.habitat-protection.fr/,https://www.habitat-protection.fr/sitemaps.xml,definitive_sitemap_http_404_7d,0,2026-08-25
habitatastuce.fr,https://www.habitatastuce.fr/,https://www.habitatastuce.fr/sitemaps.xml,definitive_sitemap_http_404_7d,0,2026-08-26
habitatbricolage.fr,https://www.habitatbricolage.fr/,https://www.habitatbricolage.fr/sitemaps.xml,definitive_sitemap_http_404_7d,0,2026-07-09
habitatinnovant.fr,https://www.habitatinnovant.fr/,https://www.habitatinnovant.fr/sitemaps.xml,definitive_sitemap_http_404_7d,0,2026-08-26
habitatqualite.fr,https://www.habitatqualite.fr/,https://www.habitatqualite.fr/sitemaps.xml,definitive_sitemap_http_404_7d,0,2026-08-26
habitatsauvage.fr,https://www.habitatsauvage.fr/,https://www.habitatsauvage.fr/wp-sitemap.xml,definitive_sitemap_http_404_7d,0,2026-08-26
habitattradition.fr,https://www.habitattradition.fr/,https://www.habitattradition.fr/sitemaps.xml,definitive_sitemap_http_404_7d,0,2026-08-26
habitatvert.fr,https://www.habitatvert.fr/,https://www.habitatvert.fr/sitemaps.xml,definitive_sitemap_http_404_7d,0,2026-07-09
home-bubble.com,https://www.home-bubble.com/,https://www.home-bubble.com/sitemap_index.xml,too_many_new_urls>100,2179,2026-06-15
home-lifestyle.fr,https://www.home-lifestyle.fr/,https://www.home-lifestyle.fr/sitemaps.xml,definitive_sitemap_http_404_7d,0,2026-08-26
homelifestyle.fr,https://www.homelifestyle.fr/,https://www.homelifestyle.fr/sitemaps.xml,definitive_sitemap_http_404_7d,0,2026-08-26
i-mmolink.com,https://www.i-mmolink.com/,https://www.i-mmolink.com/sitemap_index.xml,too_many_new_urls>100,1014,2026-06-29
ihc-immo.fr,https://www.ihc-immo.fr,https://www.ihc-immo.fr/sitemaps.xml,definitive_sitemap_http_404_7d,0,2026-08-26
immo-actuel.fr,https://www.immo-actuel.fr/,https://www.immo-actuel.fr/sitemaps.xml,definitive_sitemap_http_404_7d,0,2026-08-26
immo-complet.fr,https://www.immo-complet.fr/,https://www.immo-complet.fr/sitemaps.xml,definitive_sitemap_http_404_7d,0,2026-08-27
